;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
765;C3;Nao_branca;Fundamental;0;E1
766;C1;Branca;Fundamental;1;E1
767;C3;Nao_branca;Fundamental;1;E1
768;C3;Nao_branca;Fundamental;1;E1
769;C1;Nao_branca;Medio;1;C1
770;C2;Branca;Superior;0;D1
773;C3;Nao_branca;Medio;0;E1
775;C3;Branca;Fundamental;0;E1
776;C1;Branca;Medio;1;E1
777;C1;Branca;Superior;2;C1
778;C2;Nao_branca;Superior;1;D1
779;C1;Branca;Medio;1;D1
782;C1;Branca;Superior;1;E1
784;C2;Branca;Superior;1;D1
785;C3;Nao_branca;Fundamental;0;E1
786;C3;Nao_branca;Fundamental;1;E1
787;C3;Nao_branca;Fundamental;0;E1
788;C1;Branca;Medio;0;E1
790;C3;Nao_branca;Fundamental;0;D1
791;C2;Nao_branca;Medio;0;D1
793;C1;Branca;Medio;2;D1
794;C1;Branca;Medio;1;E1
796;C3;Nao_branca;Fundamental;0;D1
797;C2;Nao_branca;Superior;1;D1
798;C1;Branca;Medio;0;E1
800;C1;Branca;Medio;0;D1
801;C3;Nao_branca;Fundamental;1;E1
802;C3;Branca;Fundamental;0;E1
804;C3;Branca;Fundamental;0;E1
805;C1;Nao_branca;Medio;1;E1
806;C3;Nao_branca;Superior;0;E1
808;C3;Nao_branca;Fundamental;0;E1
809;C2;Nao_branca;Medio;1;D1
811;C3;Branca;Fundamental;0;E1
814;C1;Nao declarado;Superior;1;E1
815;C1;Branca;Fundamental;1;C1
816;C3;Nao_branca;NuncaEstudou;0;E1
817;C1;Branca;Medio;0;E1
819;C1;Branca;Medio;1;E1
820;C1;Branca;Fundamental;1;C1
821;C1;Branca;Medio;4;E1
822;C2;Nao_branca;Superior;1;D1
823;C2;Nao_branca;Superior;1;D1
824;C1;Nao_branca;Medio;1;E1
825;C3;Nao_branca;Fundamental;0;E1
828;C3;Nao_branca;Fundamental;1;E1
829;C1;Branca;Fundamental;2;D1
830;C1;Branca;Medio;1;E1
831;C1;Branca;Medio;1;D1
