;Cluster_menor;TP_COR_RACA;Escolaridae_mae;PC;ClasseSocial
972;A;Nao_branca;Fundamental;2;E
973;C;Branca;Medio;0;C
974;A;Nao_branca;Superior;0;E
975;A;Nao_branca;Fundamental;0;D
978;E;Branca;Fundamental;1;E
979;E;Branca;Medio;2;C
980;F;Branca;Superior;1;D
981;A;Nao_branca;Fundamental;0;E
983;E;Branca;Medio;1;E
984;C;Branca;Fundamental;0;E
986;C;Branca;Fundamental;0;E
988;E;Branca;Fundamental;1;E
989;A;Nao_branca;Fundamental;1;E
990;A;Nao_branca;Fundamental;0;E
991;A;Nao_branca;Fundamental;0;E
992;C;Branca;Fundamental;1;E
